Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
BOM,HYD,IndiGo ,06:05,07:30,1h 25m,"3,738",01-09-2022,Economy
BOM,HYD,Vistara ,10:45,12:15,1h 30m,"3,920",01-09-2022,Economy
BOM,HYD,IndiGo ,09:00,10:25,1h 25m,"4,263",01-09-2022,Economy
BOM,HYD,IndiGo ,07:15,08:45,1h 30m,"4,263",01-09-2022,Economy
BOM,HYD,IndiGo ,11:10,12:40,1h 30m,"4,263",01-09-2022,Economy
BOM,HYD,Vistara ,06:20,07:50,1h 30m,"4,475",01-09-2022,Economy
HYD,BOM,IndiGo ,21:55,23:10,1h 15m,"4,162",01-09-2022,Economy
HYD,BOM,IndiGo ,19:35,20:45,1h 10m,"4,687",01-09-2022,Economy
HYD,BOM,Air India ,22:25,23:50,1h 25m,"4,688",01-09-2022,Economy
HYD,BOM,IndiGo ,17:50,19:15,1h 25m,"4,687",01-09-2022,Economy
HYD,BOM,Vistara ,21:35,23:00,1h 25m,"8,116",01-09-2022,Economy
HYD,BOM,IndiGo ,11:00,12:10,1h 10m,"4,687",01-09-2022,Economy
HYD,BOM,Go First ,06:35,08:10,1h 35m,"3,798",01-09-2022,Economy
HYD,BOM,IndiGo ,04:15,05:40,1h 25m,"4,162",01-09-2022,Economy
HYD,BOM,IndiGo ,06:45,08:15,1h 30m,"4,162",01-09-2022,Economy
HYD,BOM,IndiGo ,13:15,14:45,1h 30m,"4,687",01-09-2022,Economy
HYD,BOM,Vistara ,07:10,08:40,1h 30m,"4,900",01-09-2022,Economy
HYD,BOM,Vistara ,08:30,10:00,1h 30m,"4,900",01-09-2022,Economy
HYD,BOM,IndiGo ,08:10,09:45,1h 35m,"4,687",01-09-2022,Economy
HYD,BOM,Vistara ,12:55,14:30,1h 35m,"4,900",01-09-2022,Economy
BOM,HYD,Go First ,22:40,00:10,1h 30m,"3,799",01-09-2022,Economy
BOM,HYD,Vistara ,21:20,22:40,1h 20m,"4,475",01-09-2022,Economy
BOM,HYD,IndiGo ,16:05,17:30,1h 25m,"4,263",01-09-2022,Economy
BOM,HYD,IndiGo ,17:30,18:55,1h 25m,"4,263",01-09-2022,Economy
BOM,HYD,IndiGo ,19:55,21:20,1h 25m,"4,263",01-09-2022,Economy
BOM,HYD,IndiGo ,18:05,19:30,1h 25m,"4,263",01-09-2022,Economy
BOM,HYD,Air India ,20:10,21:40,1h 30m,"4,263",01-09-2022,Economy
BOM,HYD,Vistara ,19:20,20:55,1h 35m,"4,697",01-09-2022,Economy
